 PersonId , StockId , Quantity 
 727 , 206 , 381 
 818 , 232 , 9223 
 769 , 218 , 2109 
 559 , 158 , 1574 
 207 , 59 , 8103 
 4 , 159 , 2800 
 907 , 257 , 9206 
 443 , 126 , 210 
 978 , 277 , 1500 
 274 , 78 , 5878 
 292 , 83 , 3865 
 468 , 133 , 9706 
 633 , 180 , 3442 
 470 , 133 , 2200 
 983 , 278 , 4804 
 31 , 9 , 4697 
 863 , 245 , 2572 
 996 , 282 , 105 
 678 , 192 , 7990 
 315 , 90 , 9608 
 817 , 232 , 6316 
 849 , 240 , 1575 
 992 , 281 , 9269 
 33 , 10 , 1919 
 700 , 199 , 4989 
 527 , 149 , 7917 
 935 , 265 , 3086 
 688 , 195 , 8963 
 547 , 155 , 2702 
 82 , 23 , 3147 
 188 , 53 , 5607 
 454 , 129 , 3436 
 298 , 85 , 9282 
 989 , 280 , 7700 
 643 , 182 , 6026 
 763 , 216 , 5399 
 16 , 9 , 1232 
 382 , 108 , 4090 
 344 , 98 , 3906 
 958 , 271 , 6733 
 506 , 143 , 6528 
 716 , 203 , 9908 
 119 , 34 , 9830 
 10 , 78 , 7725 
 908 , 257 , 7163 
 795 , 225 , 8638 
 338 , 96 , 643 
 458 , 130 , 7974 
 147 , 42 , 7084 
 222 , 63 , 78 
 411 , 117 , 5323 
 719 , 204 , 6917 
 620 , 176 , 1980 
 488 , 139 , 4136 
 195 , 56 , 418 
 879 , 249 , 8807 
 826 , 234 , 9955 
 736 , 209 , 189 
 859 , 243 , 6585 
 680 , 193 , 186 
 625 , 177 , 9715 
 219 , 62 , 243 
 896 , 254 , 7508 
 897 , 254 , 8353 
 87 , 25 , 271 
 839 , 238 , 428 
 171 , 49 , 424 
 645 , 183 , 5742 
 827 , 234 , 6175 
 220 , 63 , 9406 
 1000 , 283 , 3464 
 482 , 137 , 8483 
 653 , 185 , 6200 
 720 , 204 , 1256 
 810 , 230 , 3080 
 101 , 29 , 6408 
 730 , 207 , 1745 
 52 , 204 , 1543 
 126 , 36 , 4756 
 906 , 257 , 6352 
 190 , 54 , 7273 
 477 , 135 , 5112 
 541 , 154 , 1879 
 326 , 93 , 2623 
 672 , 190 , 7825 
 469 , 133 , 8691 
 834 , 236 , 1455 
 75 , 230 , 5145 
 794 , 225 , 7282 
 765 , 217 , 7220 
 938 , 266 , 5445 
 295 , 84 , 1043 
 523 , 148 , 7505 
 664 , 188 , 3719 
 333 , 95 , 7019 
 287 , 82 , 6285 
 821 , 233 , 2399 
 223 , 63 , 1476 
 187 , 53 , 7454 
 69 , 20 , 6734 
 61 , 177 , 8213 
 694 , 197 , 4901 
 631 , 179 , 1799 
 928 , 263 , 7679 
 50 , 63 , 6614 
 929 , 263 , 6841 
 67 , 19 , 717 
 901 , 255 , 724 
 679 , 193 , 1056 
 94 , 27 , 4010 
 150 , 43 , 7061 
 107 , 31 , 8411 
 610 , 173 , 5433 
 954 , 270 , 233 
 491 , 139 , 2913 
 149 , 42 , 4602 
 19 , 192 , 8365 
 570 , 162 , 4885 
 226 , 64 , 528 
 619 , 175 , 1581 
 6 , 2 , 8973 
 361 , 103 , 5280 
 851 , 241 , 8461 
 63 , 18 , 8955 
 282 , 80 , 3960 
 705 , 200 , 2421 
 959 , 272 , 977 
 34 , 280 , 2480 
 388 , 110 , 4237 
 93 , 148 , 6796 
 281 , 80 , 4009 
 507 , 144 , 269 
 532 , 151 , 4089 
 58 , 17 , 8022 
 131 , 80 , 8139 
 497 , 141 , 2371 
 847 , 240 , 3313 
 614 , 174 , 4200 
 105 , 30 , 6009 
 743 , 211 , 983 
 402 , 114 , 7973 
 934 , 265 , 731 
 131 , 37 , 4089 
 25 , 199 , 3271 
 616 , 175 , 158 
 831 , 236 , 7034 
 686 , 194 , 5610 
 118 , 162 , 7272 
 173 , 49 , 806 
 185 , 53 , 2416 
 113 , 173 , 7921 
 251 , 71 , 7514 
 998 , 283 , 948 
 569 , 161 , 5873 
 64 , 18 , 7762 
 264 , 75 , 2933 
 843 , 239 , 6441 
 154 , 161 , 2844 
 646 , 183 , 3718 
 517 , 147 , 4193 
 971 , 275 , 5864 
 78 , 22 , 8238 
 513 , 146 , 6488 
 156 , 45 , 4260 
 814 , 231 , 0 
 35 , 182 , 6792 
 576 , 163 , 4321 
 553 , 157 , 7412 
 673 , 191 , 2094 
 995 , 282 , 541 
 302 , 86 , 1289 
 65 , 19 , 4164 
 466 , 132 , 8876 
 484 , 137 , 9545 
 217 , 62 , 3608 
 72 , 21 , 8242 
 231 , 66 , 1191 
 151 , 43 , 5189 
 447 , 127 , 8797 
 452 , 128 , 6926 
 20 , 6 , 6812 
 389 , 111 , 3705 
 21 , 231 , 1673 
 203 , 58 , 1821 
 914 , 259 , 8876 
 30 , 9 , 6495 
 510 , 145 , 9321 
 963 , 273 , 8217 
 994 , 282 , 260 
 17 , 5 , 5206 
 654 , 185 , 5931 
 279 , 79 , 469 
 968 , 274 , 481 
 588 , 167 , 1816 
 773 , 219 , 5120 
 325 , 92 , 9736 
 421 , 119 , 4244 
 975 , 276 ,  
 886 , 251 , 9829 
 973 , 276 , 3271 
 256 , 73 , 3367 
 133 , 38 , 2713 
 898 , 254 , 8198 
 179 , 51 , 5177 
 883 , 250 , 264 
 545 , 155 , 1126 
 786 , 223 , 3756 
 515 , 146 , 8639 
 353 , 100 , 1403 
 23 , 281 , 2265 
 34 , 10 , 9520 
 692 , 196 , 1742 
 122 , 35 , 1251 
 55 , 56 ,  
 136 , 141 , 4048 
 582 , 165 , 6792 
 262 , 75 , 7381 
 311 , 88 , 2158 
 243 , 69 ,  
 785 , 222 , 6564 
 134 , 38 , 4666 
 613 , 174 , 5384 
 560 , 159 , 3505 
 656 , 186 , 7471 
 342 , 97 , 6105 
 24 , 7 , 7151 
 98 , 28 , 6889 
 878 , 249 , 4610 
 711 , 202 , 819 
 893 , 253 , 3683 
 652 , 185 , 7060 
 201 , 73 , 4425 
