 PersonId , FinancialYearId , Income , TaxPayable 
 727 , 6 , 232840 , 7453 
 818 , 7 , 54863 , 9953 
 769 , 7 , 411360 , 23411 
 559 , 5 , 998295 , 2345 
 207 , 2 , 195341 , 2134 
 4 , 5 , 59099 , 7453 
 907 , 8 , 456226 , 7453 
 443 , 4 , 362224 , 10953 
 978 , 8 , 87798 , 6653 
 274 , 3 , 60100 , 7453 
 292 , 3 , 448688 , 6653 
 468 , 4 , 295098 , 6653 
 699 , 6 , 277882 , 5653 
 470 , 4 , 465791 , 4753 
 983 , 8 , 92300 , 7453 
 31 , 1 , 218024 , 10953 
 863 , 7 , 130985 , 7453 
 996 , 8 , 62804 , 10953 
 678 , 6 , 469436 , 7453 
 315 , 3 , 80148 , 6653 
 817 , 7 , 354632 , 5653 
 849 , 7 , 313929 , 7453 
 992 , 8 , 473549 , 7453 
 99 , 1 , 64904 , 10953 
 700 , 6 , 263507 , 7453 
 527 , 5 , 53004 , 10953 
 935 , 8 , 341050 , 7453 
 688 , 6 , 370555 , 7453 
 547 , 5 , 284144 , 10953 
 82 , 1 , 308317 , 7453 
 188 , 2 , 187499 , 7453 
 454 , 4 , 169699 , 7453 
 298 , 3 , 432877 , 7453 
 945 , 8 , 392842 , 5653 
 643 , 6 , 468572 , 5653 
 763 , 7 , 993919 , 7453 
 16 , 1 , 492795 , 7453 
 382 , 4 , 181354 , 10953 
 344 , 3 , 187997 , 7453 
 958 , 8 , 228464 , 10953 
 506 , 5 , 161151 , 4753 
 716 , 6 , 134472 , 5653 
 119 , 1 , 70450 , 7453 
 10 , 3 , 184616 , 7453 
 908 , 8 , 436092 , 5653 
 795 , 7 , 145047 , 7453 
 998 , 3 , 447831 , 4753 
 458 , 4 , 458287 , 7453 
 147 , 2 , 376608 , 6653 
 222 , 2 , 455006 , 7453 
 411 , 4 , 193616 , 7453 
 719 , 6 , 406751 , 4753 
 620 , 5 , 81697 , 7453 
 488 , 4 , 76550 , 7453 
 195 , 2 , 476205 , 7453 
 879 , 8 , 414512 , 5653 
 826 , 7 , 81314 , 10953 
